step,J,true_crop_sum
0,858.7046526749953,0.0
1,856.6645889649899,0.0
2,840.2910901251294,0.0
3,838.715221357249,0.0
4,838.1575790127282,0.0
5,837.7903002026655,0.0
6,837.5114109445075,0.0
7,836.9976593148403,0.0
8,836.6485566923888,0.0
9,835.7087358192437,0.0
10,835.4945470368748,0.0
11,835.034498708879,0.0
12,831.6499016961445,0.0
13,831.3964151516807,0.0
14,831.2389285947536,0.0
15,831.0451179134308,0.0
16,830.8849720701835,0.0
17,830.4497209285278,0.0
18,830.1563870108987,0.0
19,829.9355124658362,0.0
20,826.8969952036921,0.0
21,826.068150819076,0.0
22,825.6575891343464,0.0
23,824.4427846000588,0.0
24,823.953791223619,0.0
25,820.3171435315146,0.0
26,819.4144982091907,0.0
27,818.9619055138979,0.0
28,818.4404132425212,0.0
29,818.153526517082,0.0
30,808.8641340347347,0.0
31,807.23643747759,0.0
32,806.4515986395634,0.0
33,805.3319965212174,0.0
34,804.9876610299854,0.0
35,804.6959016235646,0.0
36,804.1930311027187,0.0
37,803.7189650967202,0.0
38,798.2219844590953,0.0
39,797.442620615484,0.0
40,796.7183186673296,0.0
41,795.9782221122896,0.0
42,791.8120331191656,0.0
43,790.682677089667,1.0
44,790.0788717198357,1.0
45,789.7560235973292,1.0
46,789.5282871410595,2.0
47,789.3479398225197,3.0
48,789.1958510888835,3.0
49,789.0624497313573,3.0
50,786.6075298171853,3.0
51,785.7042997713355,4.0
52,785.2704233742729,5.0
53,781.9609425924261,6.0
54,780.9910103319305,7.0
55,780.2028558472623,8.0
56,779.8714878124314,9.0
57,779.6739958521255,10.0
58,774.3891074746228,11.0
59,773.4991095781006,12.0
60,773.0801649101356,12.0
61,772.8214197856632,12.0
62,769.6191913284821,12.0
63,768.4993658304735,12.0
64,767.9475039896988,12.0
65,767.6045105359065,12.0
66,765.1214013575639,13.0
67,763.7675583020773,14.0
68,763.2891886270909,15.0
69,761.0992291804998,16.0
70,761.3140338139088,16.0
71,759.5623944496172,16.0
72,758.7606549029775,16.0
73,758.2792548437515,16.0
74,756.1268014781149,16.0
75,755.2656969768625,16.0
76,754.7993492195798,16.0
77,754.4881783853114,16.0
78,750.4447235227021,16.0
79,750.2105009849838,16.0
80,752.5313967400781,16.0
81,750.7591780063003,16.0
82,750.0316558867437,16.0
83,749.6153924654055,16.0
84,749.3380507168866,16.0
85,749.3717763045654,16.0
86,746.0178840148747,16.0
87,744.8766892922446,16.0
88,744.2639799181816,16.0
89,743.854857839863,16.0
90,742.0493578421053,16.0
91,743.4738741609427,16.0
92,741.0994052354417,16.0
93,740.4814689958251,16.0
94,737.5917357360864,16.0
95,736.4387190519377,16.0
96,735.8643831628992,16.0
97,735.5374599794964,16.0
98,733.8460805184068,16.0
99,732.7357810973708,16.0
100,734.4607529923096,16.0
101,733.8796625830357,16.0
102,733.561204898447,16.0
103,730.6856258209276,16.0
104,729.8289557259394,16.0
105,729.4033878306084,16.0
106,729.1401419853031,16.0
107,728.5021040162283,16.0
108,727.8385050526415,16.0
109,726.1733226647307,16.0
110,724.8878285450783,16.0
111,724.3771085035113,16.0
112,724.0856274750938,16.0
113,723.1491851715721,16.0
114,722.449548558252,16.0
115,722.1752342859754,16.0
116,722.0205470103194,16.0
117,721.8598921246839,16.0
118,722.8282312526342,16.0
119,722.781343736232,16.0
120,722.0403582881374,16.0
121,721.2173753851814,16.0
