step,J,true_crop_sum
0,2410.1530387303783,0.0
1,2410.1530387303783,0.0
2,2410.1530387303783,0.0
3,2410.1530387303783,1.0
4,2410.1530387303783,3.0
5,2342.631082372118,5.0
6,2342.631082372118,7.0
7,2342.631082372118,9.0
8,2342.631082372118,11.0
9,2342.631082372118,13.0
10,2286.065607741276,15.0
11,2286.065607741276,17.0
12,2286.065607741276,19.0
13,2286.065607741276,21.0
14,2286.065607741276,23.0
15,2256.826998178804,25.0
16,2256.826998178804,27.0
17,2256.826998178804,29.0
18,2256.826998178804,30.0
19,2256.826998178804,31.0
20,2206.4696803646802,32.0
21,2206.4696803646802,33.0
22,2206.4696803646802,35.0
23,2206.4696803646802,37.0
24,2206.4696803646802,39.0
25,2158.672075558348,41.0
26,2158.672075558348,43.0
27,2158.672075558348,45.0
28,2158.672075558348,47.0
29,2158.672075558348,49.0
30,2120.2971908061268,51.0
31,2120.2971908061268,53.0
32,2120.2971908061268,55.0
33,2120.2971908061268,57.0
34,2120.2971908061268,59.0
35,2085.039491096682,61.0
36,2085.039491096682,63.0
37,2085.039491096682,65.0
38,2085.039491096682,67.0
39,2085.039491096682,69.0
40,2048.23147172903,71.0
41,2048.23147172903,73.0
42,2048.23147172903,75.0
43,2048.23147172903,77.0
44,2048.23147172903,79.0
45,2020.306017313857,81.0
46,2020.306017313857,83.0
47,2020.306017313857,85.0
48,2020.306017313857,87.0
49,2020.306017313857,89.0
50,1993.8899388740356,91.0
51,1993.8899388740356,92.0
52,1993.8899388740356,93.0
53,1993.8899388740356,94.0
54,1993.8899388740356,95.0
55,1969.271303433048,96.0
56,1969.271303433048,97.0
57,1969.271303433048,99.0
58,1969.271303433048,101.0
59,1969.271303433048,102.0
60,1957.7464234005179,103.0
61,1957.7464234005179,104.0
62,1957.7464234005179,105.0
63,1957.7464234005179,106.0
64,1957.7464234005179,107.0
65,1948.996433578573,108.0
66,1948.996433578573,109.0
67,1948.996433578573,110.0
68,1948.996433578573,111.0
69,1948.996433578573,113.0
70,1940.4632693616277,115.0
71,1940.4632693616277,117.0
72,1940.4632693616277,119.0
73,1940.4632693616277,121.0
74,1940.4632693616277,123.0
75,1934.4372634096717,125.0
76,1934.4372634096717,127.0
77,1934.4372634096717,129.0
78,1934.4372634096717,131.0
79,1934.4372634096717,133.0
80,1928.1026411853047,135.0
81,1928.1026411853047,137.0
82,1928.1026411853047,139.0
83,1928.1026411853047,141.0
84,1928.1026411853047,143.0
85,1914.1714473718212,144.0
86,1914.1714473718212,146.0
87,1914.1714473718212,148.0
88,1914.1714473718212,150.0
89,1914.1714473718212,152.0
90,1896.9026799053227,154.0
91,1896.9026799053227,156.0
92,1896.9026799053227,158.0
93,1896.9026799053227,160.0
94,1896.9026799053227,162.0
95,1878.164810133038,164.0
96,1878.164810133038,166.0
97,1878.164810133038,168.0
98,1878.164810133038,170.0
99,1878.164810133038,172.0
100,1879.5382831357165,174.0
101,1879.5382831357165,176.0
102,1879.5382831357165,178.0
103,1879.5382831357165,180.0
104,1879.5382831357165,182.0
105,1870.6679234993492,184.0
106,1870.6679234993492,186.0
107,1870.6679234993492,188.0
108,1870.6679234993492,190.0
109,1870.6679234993492,192.0
110,1866.5205589530149,194.0
111,1866.5205589530149,196.0
112,1866.5205589530149,198.0
113,1866.5205589530149,200.0
114,1866.5205589530149,202.0
115,1865.3132578471896,204.0
116,1865.3132578471896,206.0
117,1865.3132578471896,208.0
118,1865.3132578471896,210.0
119,1865.3132578471896,212.0
120,1862.8336371346481,214.0
121,1862.8336371346481,216.0
122,1862.8336371346481,218.0
123,1862.8336371346481,220.0
124,1862.8336371346481,222.0
125,1862.2094895682417,224.0
126,1862.2094895682417,226.0
127,1862.2094895682417,228.0
128,1862.2094895682417,230.0
129,1862.2094895682417,232.0
130,1863.5156001620578,234.0
131,1863.5156001620578,236.0
132,1863.5156001620578,238.0
133,1863.5156001620578,240.0
134,1863.5156001620578,242.0
135,1862.6888971084845,244.0
136,1862.6888971084845,246.0
137,1862.6888971084845,248.0
138,1862.6888971084845,250.0
139,1862.6888971084845,252.0
140,1861.285586200314,254.0
141,1861.285586200314,256.0
142,1861.285586200314,258.0
143,1861.285586200314,260.0
144,1861.285586200314,262.0
145,1861.4126447341202,264.0
146,1861.4126447341202,266.0
147,1861.4126447341202,268.0
148,1861.4126447341202,270.0
149,1861.4126447341202,272.0
150,1856.784439892263,274.0
151,1856.784439892263,276.0
152,1856.784439892263,278.0
153,1856.784439892263,279.0
154,1856.784439892263,281.0
155,1855.5451032444348,283.0
156,1855.5451032444348,285.0
157,1855.5451032444348,287.0
158,1855.5451032444348,289.0
159,1855.5451032444348,291.0
160,1841.4560534258308,293.0
161,1841.4560534258308,295.0
162,1841.4560534258308,297.0
163,1841.4560534258308,299.0
164,1841.4560534258308,301.0
165,1835.0640720403367,303.0
166,1835.0640720403367,305.0
167,1835.0640720403367,307.0
168,1835.0640720403367,309.0
169,1835.0640720403367,311.0
170,1837.2686831732542,313.0
171,1837.2686831732542,315.0
172,1837.2686831732542,317.0
173,1837.2686831732542,319.0
174,1837.2686831732542,321.0
175,1834.9978513060669,323.0
176,1834.9978513060669,325.0
177,1834.9978513060669,327.0
178,1834.9978513060669,329.0
179,1834.9978513060669,330.0
180,1837.894886345742,331.0
181,1837.894886345742,332.0
182,1837.894886345742,333.0
183,1837.894886345742,335.0
184,1837.894886345742,337.0
185,1832.8207345754508,339.0
186,1832.8207345754508,341.0
187,1832.8207345754508,343.0
188,1832.8207345754508,345.0
189,1832.8207345754508,347.0
190,1815.8646760762508,349.0
191,1815.8646760762508,351.0
192,1815.8646760762508,353.0
193,1815.8646760762508,355.0
194,1815.8646760762508,357.0
195,1819.0802995123122,359.0
196,1819.0802995123122,361.0
197,1819.0802995123122,362.0
198,1819.0802995123122,363.0
199,1819.0802995123122,365.0
200,1822.991255692917,367.0
201,1822.991255692917,369.0
202,1822.991255692917,371.0
203,1822.991255692917,373.0
204,1822.991255692917,375.0
205,1821.9580377327015,377.0
206,1821.9580377327015,379.0
207,1821.9580377327015,381.0
208,1821.9580377327015,383.0
209,1821.9580377327015,384.0
210,1821.4055439743731,385.0
211,1821.4055439743731,386.0
212,1821.4055439743731,387.0
213,1821.4055439743731,388.0
214,1821.4055439743731,389.0
215,1818.404834361686,390.0
216,1818.404834361686,391.0
217,1818.404834361686,392.0
218,1818.404834361686,393.0
219,1818.404834361686,394.0
220,1817.6104081701721,395.0
221,1817.6104081701721,397.0
222,1817.6104081701721,399.0
223,1817.6104081701721,400.0
224,1817.6104081701721,401.0
225,1808.9728618508882,402.0
226,1808.9728618508882,403.0
227,1808.9728618508882,404.0
228,1808.9728618508882,405.0
229,1808.9728618508882,406.0
230,1798.0669188192246,407.0
231,1798.0669188192246,408.0
232,1798.0669188192246,409.0
233,1798.0669188192246,410.0
234,1798.0669188192246,411.0
235,1798.8115713047723,412.0
236,1798.8115713047723,413.0
237,1798.8115713047723,414.0
238,1798.8115713047723,415.0
239,1798.8115713047723,416.0
240,1800.8274118171246,418.0
241,1800.8274118171246,420.0
242,1800.8274118171246,422.0
243,1800.8274118171246,423.0
244,1800.8274118171246,424.0
245,1799.9301642684527,425.0
246,1799.9301642684527,426.0
247,1799.9301642684527,427.0
248,1799.9301642684527,427.0
249,1799.9301642684527,427.0
250,1804.149366957361,428.0
251,1804.149366957361,429.0
252,1804.149366957361,430.0
253,1804.149366957361,430.0
254,1804.149366957361,430.0
255,1804.7257768728218,430.0
256,1804.7257768728218,431.0
257,1804.7257768728218,432.0
258,1804.7257768728218,432.0
259,1804.7257768728218,432.0
260,1806.8696309085826,432.0
261,1806.8696309085826,432.0
262,1806.8696309085826,432.0
263,1806.8696309085826,432.0
264,1806.8696309085826,432.0
265,1807.8974310136243,432.0
266,1807.8974310136243,432.0
267,1807.8974310136243,432.0
268,1807.8974310136243,433.0
269,1807.8974310136243,434.0
270,1795.1224167029645,435.0
271,1795.1224167029645,436.0
272,1795.1224167029645,438.0
273,1795.1224167029645,440.0
274,1795.1224167029645,442.0
275,1783.7474202298017,444.0
276,1783.7474202298017,445.0
277,1783.7474202298017,446.0
278,1783.7474202298017,447.0
279,1783.7474202298017,448.0
280,1781.4653111065318,449.0
281,1781.4653111065318,450.0
282,1781.4653111065318,451.0
283,1781.4653111065318,452.0
284,1781.4653111065318,453.0
285,1775.8299014266468,454.0
286,1775.8299014266468,455.0
287,1775.8299014266468,456.0
288,1775.8299014266468,457.0
289,1775.8299014266468,458.0
290,1779.6853219606437,459.0
291,1779.6853219606437,460.0
292,1779.6853219606437,461.0
293,1779.6853219606437,462.0
294,1779.6853219606437,463.0
295,1777.1938347481205,464.0
296,1777.1938347481205,465.0
297,1777.1938347481205,467.0
298,1777.1938347481205,469.0
299,1777.1938347481205,471.0
300,1777.0156615229716,473.0
301,1777.0156615229716,475.0
302,1777.0156615229716,477.0
303,1777.0156615229716,479.0
304,1777.0156615229716,481.0
305,1775.8423393197336,483.0
306,1775.8423393197336,485.0
307,1775.8423393197336,487.0
308,1775.8423393197336,489.0
309,1775.8423393197336,491.0
310,1772.7713235800861,493.0
311,1772.7713235800861,495.0
312,1772.7713235800861,497.0
313,1772.7713235800861,499.0
314,1772.7713235800861,501.0
315,1773.900761401589,503.0
316,1773.900761401589,505.0
317,1773.900761401589,506.0
318,1773.900761401589,507.0
319,1773.900761401589,508.0
320,1770.7211798618919,509.0
321,1770.7211798618919,510.0
322,1770.7211798618919,511.0
323,1770.7211798618919,512.0
324,1770.7211798618919,513.0
325,1769.7323905972796,515.0
326,1769.7323905972796,517.0
327,1769.7323905972796,519.0
328,1769.7323905972796,521.0
329,1769.7323905972796,523.0
330,1772.3185266608623,525.0
331,1772.3185266608623,527.0
332,1772.3185266608623,529.0
333,1772.3185266608623,531.0
334,1772.3185266608623,533.0
335,1776.27615605953,535.0
336,1776.27615605953,537.0
337,1776.27615605953,539.0
338,1776.27615605953,541.0
339,1776.27615605953,543.0
340,1772.3745681212554,545.0
341,1772.3745681212554,547.0
342,1772.3745681212554,549.0
343,1772.3745681212554,551.0
344,1772.3745681212554,553.0
345,1760.575250468674,555.0
346,1760.575250468674,557.0
347,1760.575250468674,559.0
348,1760.575250468674,561.0
349,1760.575250468674,563.0
350,1756.2755854037782,565.0
351,1756.2755854037782,567.0
352,1756.2755854037782,569.0
353,1756.2755854037782,570.0
354,1756.2755854037782,571.0
355,1755.3942681929943,573.0
356,1755.3942681929943,575.0
357,1755.3942681929943,577.0
358,1755.3942681929943,579.0
359,1755.3942681929943,581.0
360,1753.8388966818798,582.0
361,1753.8388966818798,583.0
362,1753.8388966818798,584.0
363,1753.8388966818798,585.0
364,1753.8388966818798,585.0
365,1751.4883413435687,585.0
366,1751.4883413435687,586.0
367,1751.4883413435687,587.0
368,1751.4883413435687,588.0
369,1751.4883413435687,589.0
370,1753.1413632701733,590.0
371,1753.1413632701733,591.0
372,1753.1413632701733,591.0
373,1753.1413632701733,592.0
374,1753.1413632701733,593.0
375,1748.6307615496105,594.0
376,1748.6307615496105,595.0
377,1748.6307615496105,596.0
378,1748.6307615496105,597.0
379,1748.6307615496105,598.0
380,1744.1808771804963,599.0
381,1744.1808771804963,600.0
382,1744.1808771804963,601.0
383,1744.1808771804963,602.0
384,1744.1808771804963,604.0
385,1743.8155178130169,606.0
386,1743.8155178130169,608.0
387,1743.8155178130169,610.0
388,1743.8155178130169,612.0
389,1743.8155178130169,614.0
390,1736.6096313182761,615.0
391,1736.6096313182761,616.0
392,1736.6096313182761,618.0
393,1736.6096313182761,620.0
394,1736.6096313182761,621.0
395,1734.9454031769606,622.0
396,1734.9454031769606,623.0
397,1734.9454031769606,624.0
398,1734.9454031769606,625.0
399,1734.9454031769606,626.0
