step,J,true_crop_sum
0,2410.1530387303783,0.0
1,2410.1530387303783,0.0
2,2410.1530387303783,1.0
3,2410.1530387303783,3.0
4,2410.1530387303783,5.0
5,2342.609126698543,7.0
6,2342.609126698543,9.0
7,2342.609126698543,11.0
8,2342.609126698543,13.0
9,2342.609126698543,15.0
10,2296.226559865034,17.0
11,2296.226559865034,19.0
12,2296.226559865034,21.0
13,2296.226559865034,23.0
14,2296.226559865034,25.0
15,2258.758006783077,27.0
16,2258.758006783077,29.0
17,2258.758006783077,30.0
18,2258.758006783077,31.0
19,2258.758006783077,32.0
20,2229.095621562368,33.0
21,2229.095621562368,34.0
22,2229.095621562368,36.0
23,2229.095621562368,38.0
24,2229.095621562368,40.0
25,2194.5560054184048,42.0
26,2194.5560054184048,44.0
27,2194.5560054184048,46.0
28,2194.5560054184048,48.0
29,2194.5560054184048,50.0
30,2153.7081671736796,52.0
31,2153.7081671736796,54.0
32,2153.7081671736796,56.0
33,2153.7081671736796,58.0
34,2153.7081671736796,60.0
35,2104.734420911316,61.0
36,2104.734420911316,63.0
37,2104.734420911316,65.0
38,2104.734420911316,67.0
39,2104.734420911316,69.0
40,2065.217869621881,71.0
41,2065.217869621881,73.0
42,2065.217869621881,75.0
43,2065.217869621881,77.0
44,2065.217869621881,79.0
45,2029.9017141789634,81.0
46,2029.9017141789634,83.0
47,2029.9017141789634,85.0
48,2029.9017141789634,87.0
49,2029.9017141789634,89.0
50,2010.0316849626392,91.0
51,2010.0316849626392,93.0
52,2010.0316849626392,95.0
53,2010.0316849626392,97.0
54,2010.0316849626392,99.0
55,1996.2261522300391,101.0
56,1996.2261522300391,103.0
57,1996.2261522300391,105.0
58,1996.2261522300391,107.0
59,1996.2261522300391,109.0
60,1990.7680931009822,111.0
61,1990.7680931009822,113.0
62,1990.7680931009822,115.0
63,1990.7680931009822,117.0
64,1990.7680931009822,119.0
65,1974.6967958340795,121.0
66,1974.6967958340795,123.0
67,1974.6967958340795,125.0
68,1974.6967958340795,127.0
69,1974.6967958340795,129.0
70,1949.9032981531907,131.0
71,1949.9032981531907,133.0
72,1949.9032981531907,135.0
73,1949.9032981531907,137.0
74,1949.9032981531907,139.0
75,1932.6694482910364,141.0
76,1932.6694482910364,143.0
77,1932.6694482910364,145.0
78,1932.6694482910364,147.0
79,1932.6694482910364,149.0
80,1931.9543674641986,151.0
81,1931.9543674641986,153.0
82,1931.9543674641986,155.0
83,1931.9543674641986,157.0
84,1931.9543674641986,159.0
85,1929.542208202859,161.0
86,1929.542208202859,163.0
87,1929.542208202859,165.0
88,1929.542208202859,167.0
89,1929.542208202859,169.0
90,1923.3975401036544,171.0
91,1923.3975401036544,173.0
92,1923.3975401036544,175.0
93,1923.3975401036544,177.0
94,1923.3975401036544,179.0
95,1915.516771964461,181.0
96,1915.516771964461,183.0
97,1915.516771964461,185.0
98,1915.516771964461,187.0
99,1915.516771964461,189.0
100,1899.1257022533277,191.0
101,1899.1257022533277,193.0
102,1899.1257022533277,195.0
103,1899.1257022533277,197.0
104,1899.1257022533277,199.0
105,1885.8126630444726,201.0
106,1885.8126630444726,203.0
107,1885.8126630444726,205.0
108,1885.8126630444726,207.0
109,1885.8126630444726,209.0
110,1878.9537373269666,211.0
111,1878.9537373269666,213.0
112,1878.9537373269666,215.0
113,1878.9537373269666,217.0
114,1878.9537373269666,219.0
115,1874.254178344706,220.0
116,1874.254178344706,221.0
117,1874.254178344706,222.0
118,1874.254178344706,224.0
119,1874.254178344706,226.0
120,1867.1121970377358,228.0
121,1867.1121970377358,230.0
122,1867.1121970377358,232.0
123,1867.1121970377358,234.0
124,1867.1121970377358,236.0
125,1864.454248289979,238.0
126,1864.454248289979,240.0
127,1864.454248289979,242.0
128,1864.454248289979,244.0
129,1864.454248289979,246.0
130,1861.2105750363055,248.0
131,1861.2105750363055,250.0
132,1861.2105750363055,252.0
133,1861.2105750363055,254.0
134,1861.2105750363055,256.0
135,1844.6168503452823,258.0
136,1844.6168503452823,260.0
137,1844.6168503452823,262.0
138,1844.6168503452823,264.0
139,1844.6168503452823,266.0
140,1840.52749499568,268.0
141,1840.52749499568,270.0
142,1840.52749499568,272.0
143,1840.52749499568,274.0
144,1840.52749499568,276.0
145,1841.805027029286,278.0
146,1841.805027029286,280.0
147,1841.805027029286,282.0
148,1841.805027029286,284.0
149,1841.805027029286,286.0
150,1845.0168443522716,288.0
151,1845.0168443522716,290.0
152,1845.0168443522716,292.0
153,1845.0168443522716,294.0
154,1845.0168443522716,296.0
155,1845.4528352288733,298.0
156,1845.4528352288733,300.0
157,1845.4528352288733,302.0
158,1845.4528352288733,304.0
159,1845.4528352288733,306.0
160,1846.1488436642037,308.0
161,1846.1488436642037,310.0
162,1846.1488436642037,312.0
163,1846.1488436642037,314.0
164,1846.1488436642037,315.0
165,1845.3510841506577,317.0
166,1845.3510841506577,319.0
167,1845.3510841506577,321.0
168,1845.3510841506577,323.0
169,1845.3510841506577,325.0
170,1842.5228156175476,327.0
171,1842.5228156175476,329.0
172,1842.5228156175476,331.0
173,1842.5228156175476,333.0
174,1842.5228156175476,335.0
175,1838.420925811432,337.0
176,1838.420925811432,339.0
177,1838.420925811432,341.0
178,1838.420925811432,343.0
179,1838.420925811432,345.0
180,1838.6623642804675,347.0
181,1838.6623642804675,349.0
182,1838.6623642804675,351.0
183,1838.6623642804675,353.0
184,1838.6623642804675,355.0
185,1832.0896303206673,357.0
186,1832.0896303206673,359.0
187,1832.0896303206673,361.0
188,1832.0896303206673,363.0
189,1832.0896303206673,365.0
190,1826.8755478309324,367.0
191,1826.8755478309324,369.0
192,1826.8755478309324,371.0
193,1826.8755478309324,373.0
194,1826.8755478309324,375.0
195,1828.637769764567,377.0
196,1828.637769764567,379.0
197,1828.637769764567,381.0
198,1828.637769764567,383.0
199,1828.637769764567,385.0
200,1828.6013584600719,387.0
201,1828.6013584600719,389.0
202,1828.6013584600719,391.0
203,1828.6013584600719,393.0
204,1828.6013584600719,395.0
205,1826.0463933233063,397.0
206,1826.0463933233063,399.0
207,1826.0463933233063,401.0
208,1826.0463933233063,403.0
209,1826.0463933233063,405.0
210,1817.5713476341662,407.0
211,1817.5713476341662,409.0
212,1817.5713476341662,411.0
213,1817.5713476341662,413.0
214,1817.5713476341662,415.0
215,1815.314320503578,417.0
216,1815.314320503578,419.0
217,1815.314320503578,421.0
218,1815.314320503578,423.0
219,1815.314320503578,425.0
220,1813.0320699745766,427.0
221,1813.0320699745766,429.0
222,1813.0320699745766,431.0
223,1813.0320699745766,433.0
224,1813.0320699745766,435.0
225,1809.541930089405,437.0
226,1809.541930089405,439.0
227,1809.541930089405,441.0
228,1809.541930089405,443.0
229,1809.541930089405,445.0
230,1812.7366433297566,447.0
231,1812.7366433297566,449.0
232,1812.7366433297566,451.0
233,1812.7366433297566,453.0
234,1812.7366433297566,455.0
235,1810.1667881584863,457.0
236,1810.1667881584863,458.0
237,1810.1667881584863,459.0
238,1810.1667881584863,461.0
239,1810.1667881584863,463.0
240,1805.81540771404,465.0
241,1805.81540771404,467.0
242,1805.81540771404,469.0
243,1805.81540771404,471.0
244,1805.81540771404,473.0
245,1804.568528545256,475.0
246,1804.568528545256,477.0
247,1804.568528545256,479.0
248,1804.568528545256,481.0
249,1804.568528545256,483.0
250,1798.4050796713577,485.0
251,1798.4050796713577,487.0
252,1798.4050796713577,489.0
253,1798.4050796713577,491.0
254,1798.4050796713577,493.0
255,1794.2576921972172,495.0
256,1794.2576921972172,497.0
257,1794.2576921972172,499.0
258,1794.2576921972172,501.0
259,1794.2576921972172,503.0
260,1793.5977300245877,505.0
261,1793.5977300245877,507.0
262,1793.5977300245877,509.0
263,1793.5977300245877,511.0
264,1793.5977300245877,513.0
265,1791.7211265934977,515.0
266,1791.7211265934977,517.0
267,1791.7211265934977,519.0
268,1791.7211265934977,521.0
269,1791.7211265934977,523.0
270,1789.2329845402091,525.0
271,1789.2329845402091,527.0
272,1789.2329845402091,529.0
273,1789.2329845402091,531.0
274,1789.2329845402091,533.0
275,1789.5689231437755,535.0
276,1789.5689231437755,537.0
277,1789.5689231437755,539.0
278,1789.5689231437755,541.0
279,1789.5689231437755,543.0
280,1783.2996169573366,545.0
281,1783.2996169573366,547.0
282,1783.2996169573366,548.0
283,1783.2996169573366,549.0
284,1783.2996169573366,550.0
285,1780.2230163739105,551.0
286,1780.2230163739105,552.0
287,1780.2230163739105,553.0
288,1780.2230163739105,554.0
289,1780.2230163739105,555.0
290,1777.92080109547,556.0
291,1777.92080109547,557.0
292,1777.92080109547,558.0
293,1777.92080109547,559.0
294,1777.92080109547,561.0
295,1776.393439722137,563.0
296,1776.393439722137,565.0
297,1776.393439722137,567.0
298,1776.393439722137,569.0
299,1776.393439722137,571.0
300,1774.753677552144,573.0
301,1774.753677552144,575.0
302,1774.753677552144,577.0
303,1774.753677552144,579.0
304,1774.753677552144,581.0
305,1776.5036757369453,583.0
306,1776.5036757369453,585.0
307,1776.5036757369453,587.0
308,1776.5036757369453,589.0
309,1776.5036757369453,591.0
310,1771.8430192967762,593.0
311,1771.8430192967762,595.0
312,1771.8430192967762,597.0
313,1771.8430192967762,599.0
314,1771.8430192967762,601.0
315,1774.1250428289845,603.0
316,1774.1250428289845,605.0
317,1774.1250428289845,607.0
318,1774.1250428289845,609.0
319,1774.1250428289845,611.0
320,1769.1037512792805,613.0
321,1769.1037512792805,615.0
322,1769.1037512792805,617.0
323,1769.1037512792805,619.0
324,1769.1037512792805,621.0
325,1772.5515117467578,623.0
326,1772.5515117467578,625.0
327,1772.5515117467578,627.0
328,1772.5515117467578,629.0
329,1772.5515117467578,631.0
330,1774.035396336084,633.0
331,1774.035396336084,635.0
332,1774.035396336084,637.0
333,1774.035396336084,639.0
334,1774.035396336084,641.0
335,1776.0343469062832,643.0
336,1776.0343469062832,645.0
337,1776.0343469062832,647.0
338,1776.0343469062832,649.0
339,1776.0343469062832,651.0
340,1773.9573640691674,653.0
341,1773.9573640691674,655.0
342,1773.9573640691674,657.0
343,1773.9573640691674,659.0
344,1773.9573640691674,661.0
345,1774.9855485219646,663.0
346,1774.9855485219646,664.0
347,1774.9855485219646,665.0
348,1774.9855485219646,667.0
349,1774.9855485219646,669.0
350,1773.613755447368,671.0
351,1773.613755447368,673.0
352,1773.613755447368,675.0
353,1773.613755447368,677.0
354,1773.613755447368,679.0
355,1779.8001074460276,681.0
356,1779.8001074460276,683.0
357,1779.8001074460276,685.0
358,1779.8001074460276,687.0
359,1779.8001074460276,689.0
360,1779.3762743563611,691.0
361,1779.3762743563611,693.0
362,1779.3762743563611,695.0
363,1779.3762743563611,697.0
364,1779.3762743563611,699.0
365,1779.064791071587,701.0
366,1779.064791071587,703.0
367,1779.064791071587,705.0
368,1779.064791071587,707.0
369,1779.064791071587,709.0
370,1773.37727246889,711.0
371,1773.37727246889,712.0
372,1773.37727246889,712.0
373,1773.37727246889,713.0
374,1773.37727246889,714.0
375,1770.9262898305246,715.0
376,1770.9262898305246,716.0
377,1770.9262898305246,717.0
378,1770.9262898305246,718.0
379,1770.9262898305246,719.0
380,1772.5910731605406,720.0
381,1772.5910731605406,721.0
382,1772.5910731605406,721.0
383,1772.5910731605406,721.0
384,1772.5910731605406,721.0
385,1771.9342301796137,722.0
386,1771.9342301796137,723.0
387,1771.9342301796137,724.0
388,1771.9342301796137,725.0
389,1771.9342301796137,726.0
390,1766.8433086130776,727.0
391,1766.8433086130776,728.0
392,1766.8433086130776,729.0
393,1766.8433086130776,730.0
394,1766.8433086130776,731.0
395,1772.875243068344,733.0
396,1772.875243068344,735.0
397,1772.875243068344,736.0
398,1772.875243068344,737.0
399,1772.875243068344,738.0
