step,J,true_crop_sum
0,2410.1530387303783,0.0
1,2410.1530387303783,0.0
2,2410.1530387303783,1.0
3,2410.1530387303783,2.0
4,2410.1530387303783,3.0
5,2338.9667968636777,4.0
6,2338.9667968636777,5.0
7,2338.9667968636777,7.0
8,2338.9667968636777,9.0
9,2338.9667968636777,11.0
10,2311.438862540268,13.0
11,2311.438862540268,15.0
12,2311.438862540268,17.0
13,2311.438862540268,19.0
14,2311.438862540268,21.0
15,2291.515371077655,23.0
16,2291.515371077655,25.0
17,2291.515371077655,27.0
18,2291.515371077655,29.0
19,2291.515371077655,31.0
20,2271.7244611821175,33.0
21,2271.7244611821175,35.0
22,2271.7244611821175,37.0
23,2271.7244611821175,39.0
24,2271.7244611821175,41.0
25,2245.8150161281415,43.0
26,2245.8150161281415,45.0
27,2245.8150161281415,47.0
28,2245.8150161281415,49.0
29,2245.8150161281415,51.0
30,2222.3470132649236,53.0
31,2222.3470132649236,55.0
32,2222.3470132649236,57.0
33,2222.3470132649236,59.0
34,2222.3470132649236,61.0
35,2202.905885826438,63.0
36,2202.905885826438,65.0
37,2202.905885826438,67.0
38,2202.905885826438,69.0
39,2202.905885826438,71.0
40,2193.8989895805507,73.0
41,2193.8989895805507,75.0
42,2193.8989895805507,77.0
43,2193.8989895805507,79.0
44,2193.8989895805507,81.0
45,2179.859129776708,83.0
46,2179.859129776708,85.0
47,2179.859129776708,87.0
48,2179.859129776708,89.0
49,2179.859129776708,91.0
50,2171.847178060016,93.0
51,2171.847178060016,95.0
52,2171.847178060016,97.0
53,2171.847178060016,99.0
54,2171.847178060016,101.0
55,2159.884971810099,103.0
56,2159.884971810099,105.0
57,2159.884971810099,107.0
58,2159.884971810099,109.0
59,2159.884971810099,111.0
60,2155.6443762041577,113.0
61,2155.6443762041577,115.0
62,2155.6443762041577,117.0
63,2155.6443762041577,119.0
64,2155.6443762041577,121.0
65,2153.179625909177,123.0
66,2153.179625909177,125.0
67,2153.179625909177,127.0
68,2153.179625909177,129.0
69,2153.179625909177,131.0
70,2144.774665715924,133.0
71,2144.774665715924,135.0
72,2144.774665715924,137.0
73,2144.774665715924,139.0
74,2144.774665715924,141.0
75,2135.9613097067645,143.0
76,2135.9613097067645,145.0
77,2135.9613097067645,147.0
78,2135.9613097067645,149.0
79,2135.9613097067645,151.0
80,2125.7943383925694,152.0
81,2125.7943383925694,154.0
82,2125.7943383925694,156.0
83,2125.7943383925694,158.0
84,2125.7943383925694,160.0
85,2115.305950447262,162.0
86,2115.305950447262,164.0
87,2115.305950447262,166.0
88,2115.305950447262,168.0
89,2115.305950447262,170.0
90,2103.849011289599,172.0
91,2103.849011289599,174.0
92,2103.849011289599,176.0
93,2103.849011289599,178.0
94,2103.849011289599,180.0
95,2095.5774795288307,182.0
96,2095.5774795288307,184.0
97,2095.5774795288307,186.0
98,2095.5774795288307,188.0
99,2095.5774795288307,190.0
100,2078.963012809008,192.0
101,2078.963012809008,194.0
102,2078.963012809008,196.0
103,2078.963012809008,198.0
104,2078.963012809008,200.0
105,2064.923785259942,202.0
106,2064.923785259942,204.0
107,2064.923785259942,206.0
108,2064.923785259942,208.0
109,2064.923785259942,210.0
110,2055.4808122310983,212.0
111,2055.4808122310983,214.0
112,2055.4808122310983,215.0
113,2055.4808122310983,216.0
114,2055.4808122310983,217.0
115,2046.0863066365418,218.0
116,2046.0863066365418,219.0
117,2046.0863066365418,220.0
118,2046.0863066365418,221.0
119,2046.0863066365418,222.0
120,2042.6559232604843,223.0
121,2042.6559232604843,224.0
122,2042.6559232604843,225.0
123,2042.6559232604843,227.0
124,2042.6559232604843,229.0
125,2040.5962767361925,231.0
126,2040.5962767361925,233.0
127,2040.5962767361925,235.0
128,2040.5962767361925,237.0
129,2040.5962767361925,239.0
130,2033.1497578640137,241.0
131,2033.1497578640137,243.0
132,2033.1497578640137,245.0
133,2033.1497578640137,247.0
134,2033.1497578640137,249.0
135,2030.3021735881662,251.0
136,2030.3021735881662,253.0
137,2030.3021735881662,255.0
138,2030.3021735881662,257.0
139,2030.3021735881662,259.0
140,2027.7559792222519,261.0
141,2027.7559792222519,263.0
142,2027.7559792222519,265.0
143,2027.7559792222519,267.0
144,2027.7559792222519,269.0
145,2024.0129171454334,271.0
146,2024.0129171454334,273.0
147,2024.0129171454334,275.0
148,2024.0129171454334,277.0
149,2024.0129171454334,279.0
150,2022.4900775535777,281.0
151,2022.4900775535777,283.0
152,2022.4900775535777,285.0
153,2022.4900775535777,287.0
154,2022.4900775535777,289.0
155,2023.2366482065472,291.0
156,2023.2366482065472,293.0
157,2023.2366482065472,295.0
158,2023.2366482065472,296.0
159,2023.2366482065472,297.0
160,2021.8297742745235,299.0
161,2021.8297742745235,301.0
162,2021.8297742745235,303.0
163,2021.8297742745235,305.0
164,2021.8297742745235,307.0
165,2019.4172177115313,309.0
166,2019.4172177115313,311.0
167,2019.4172177115313,313.0
168,2019.4172177115313,315.0
169,2019.4172177115313,317.0
170,2014.2077682328454,319.0
171,2014.2077682328454,321.0
172,2014.2077682328454,323.0
173,2014.2077682328454,325.0
174,2014.2077682328454,327.0
175,2008.1398486508535,329.0
176,2008.1398486508535,331.0
177,2008.1398486508535,333.0
178,2008.1398486508535,335.0
179,2008.1398486508535,337.0
180,2006.310344901794,339.0
181,2006.310344901794,341.0
182,2006.310344901794,343.0
183,2006.310344901794,345.0
184,2006.310344901794,347.0
185,2003.2680670589477,349.0
186,2003.2680670589477,351.0
187,2003.2680670589477,353.0
188,2003.2680670589477,355.0
189,2003.2680670589477,357.0
190,2003.9116152255192,359.0
191,2003.9116152255192,361.0
192,2003.9116152255192,363.0
193,2003.9116152255192,365.0
194,2003.9116152255192,367.0
195,1999.688136082748,369.0
196,1999.688136082748,371.0
197,1999.688136082748,373.0
198,1999.688136082748,375.0
199,1999.688136082748,377.0
200,1996.7799334901497,379.0
201,1996.7799334901497,381.0
202,1996.7799334901497,383.0
203,1996.7799334901497,385.0
204,1996.7799334901497,387.0
205,1992.5559802999749,389.0
206,1992.5559802999749,391.0
207,1992.5559802999749,393.0
208,1992.5559802999749,395.0
209,1992.5559802999749,397.0
210,1992.4911016239987,398.0
211,1992.4911016239987,399.0
212,1992.4911016239987,401.0
213,1992.4911016239987,403.0
214,1992.4911016239987,405.0
215,1992.3891340769355,407.0
216,1992.3891340769355,409.0
217,1992.3891340769355,411.0
218,1992.3891340769355,413.0
219,1992.3891340769355,415.0
220,1994.1036337047785,417.0
221,1994.1036337047785,419.0
222,1994.1036337047785,421.0
223,1994.1036337047785,423.0
224,1994.1036337047785,425.0
225,1990.504782374448,427.0
226,1990.504782374448,429.0
227,1990.504782374448,431.0
228,1990.504782374448,433.0
229,1990.504782374448,435.0
230,1985.8351108902634,437.0
231,1985.8351108902634,439.0
232,1985.8351108902634,441.0
233,1985.8351108902634,443.0
234,1985.8351108902634,445.0
235,1988.3126772913008,447.0
236,1988.3126772913008,449.0
237,1988.3126772913008,450.0
238,1988.3126772913008,451.0
239,1988.3126772913008,452.0
240,1992.2360561064706,453.0
241,1992.2360561064706,455.0
242,1992.2360561064706,456.0
243,1992.2360561064706,457.0
244,1992.2360561064706,458.0
245,1991.648805324187,459.0
246,1991.648805324187,460.0
247,1991.648805324187,461.0
248,1991.648805324187,462.0
249,1991.648805324187,462.0
250,1988.5671256511837,462.0
251,1988.5671256511837,463.0
252,1988.5671256511837,464.0
253,1988.5671256511837,465.0
254,1988.5671256511837,466.0
255,1990.1025325343649,467.0
256,1990.1025325343649,468.0
257,1990.1025325343649,469.0
258,1990.1025325343649,470.0
259,1990.1025325343649,471.0
260,1983.3508100762401,472.0
261,1983.3508100762401,473.0
262,1983.3508100762401,474.0
263,1983.3508100762401,475.0
264,1983.3508100762401,476.0
265,1984.4338042299692,477.0
266,1984.4338042299692,478.0
267,1984.4338042299692,479.0
268,1984.4338042299692,480.0
269,1984.4338042299692,481.0
270,1982.4576707370336,482.0
271,1982.4576707370336,483.0
272,1982.4576707370336,484.0
273,1982.4576707370336,485.0
274,1982.4576707370336,486.0
275,1985.893235345473,487.0
276,1985.893235345473,488.0
277,1985.893235345473,489.0
278,1985.893235345473,490.0
279,1985.893235345473,492.0
280,1981.987397489384,494.0
281,1981.987397489384,496.0
282,1981.987397489384,498.0
283,1981.987397489384,500.0
284,1981.987397489384,502.0
285,1977.4668258487773,504.0
286,1977.4668258487773,506.0
287,1977.4668258487773,508.0
288,1977.4668258487773,510.0
289,1977.4668258487773,512.0
290,1977.466225615613,514.0
291,1977.466225615613,516.0
292,1977.466225615613,518.0
293,1977.466225615613,520.0
294,1977.466225615613,522.0
295,1976.3211570614774,524.0
296,1976.3211570614774,526.0
297,1976.3211570614774,528.0
298,1976.3211570614774,530.0
299,1976.3211570614774,532.0
300,1978.032804404733,534.0
301,1978.032804404733,536.0
302,1978.032804404733,538.0
303,1978.032804404733,540.0
304,1978.032804404733,542.0
305,1974.990302203076,544.0
306,1974.990302203076,546.0
307,1974.990302203076,548.0
308,1974.990302203076,550.0
309,1974.990302203076,552.0
310,1973.2703155579732,554.0
311,1973.2703155579732,556.0
312,1973.2703155579732,558.0
313,1973.2703155579732,560.0
314,1973.2703155579732,562.0
315,1967.107984074549,564.0
316,1967.107984074549,566.0
317,1967.107984074549,568.0
318,1967.107984074549,570.0
319,1967.107984074549,572.0
320,1958.0423082189952,574.0
321,1958.0423082189952,576.0
322,1958.0423082189952,578.0
323,1958.0423082189952,580.0
324,1958.0423082189952,582.0
325,1955.1822565086281,584.0
326,1955.1822565086281,586.0
327,1955.1822565086281,588.0
328,1955.1822565086281,590.0
329,1955.1822565086281,592.0
330,1952.9870249458168,594.0
331,1952.9870249458168,596.0
332,1952.9870249458168,598.0
333,1952.9870249458168,600.0
334,1952.9870249458168,602.0
335,1954.210711420134,604.0
336,1954.210711420134,606.0
337,1954.210711420134,608.0
338,1954.210711420134,610.0
339,1954.210711420134,612.0
340,1950.9347587858865,614.0
341,1950.9347587858865,615.0
342,1950.9347587858865,617.0
343,1950.9347587858865,619.0
344,1950.9347587858865,621.0
345,1946.823260821828,623.0
346,1946.823260821828,624.0
347,1946.823260821828,625.0
348,1946.823260821828,627.0
349,1946.823260821828,629.0
350,1945.2376436593684,631.0
351,1945.2376436593684,633.0
352,1945.2376436593684,634.0
353,1945.2376436593684,635.0
354,1945.2376436593684,636.0
355,1945.7177858693208,637.0
356,1945.7177858693208,638.0
357,1945.7177858693208,639.0
358,1945.7177858693208,640.0
359,1945.7177858693208,641.0
360,1942.1775645718599,642.0
361,1942.1775645718599,643.0
362,1942.1775645718599,644.0
363,1942.1775645718599,645.0
364,1942.1775645718599,646.0
365,1941.2011339827152,647.0
366,1941.2011339827152,648.0
367,1941.2011339827152,649.0
368,1941.2011339827152,650.0
369,1941.2011339827152,651.0
370,1933.5896834198065,652.0
371,1933.5896834198065,653.0
372,1933.5896834198065,654.0
373,1933.5896834198065,655.0
374,1933.5896834198065,656.0
375,1930.618816498939,657.0
376,1930.618816498939,658.0
377,1930.618816498939,660.0
378,1930.618816498939,661.0
379,1930.618816498939,661.0
380,1929.3183453175204,662.0
381,1929.3183453175204,663.0
382,1929.3183453175204,664.0
383,1929.3183453175204,665.0
384,1929.3183453175204,665.0
385,1931.8070520745378,665.0
386,1931.8070520745378,666.0
387,1931.8070520745378,667.0
388,1931.8070520745378,668.0
389,1931.8070520745378,669.0
390,1930.7876290414304,670.0
391,1930.7876290414304,671.0
392,1930.7876290414304,671.0
393,1930.7876290414304,671.0
394,1930.7876290414304,673.0
395,1920.7148352124082,675.0
396,1920.7148352124082,676.0
397,1920.7148352124082,677.0
398,1920.7148352124082,678.0
399,1920.7148352124082,679.0
