step,J,true_crop_sum
0,2410.1530389073714,0.0
1,2410.1530389073714,0.0
2,2410.1530389073714,0.0
3,2410.1530389073714,1.0
4,2410.1530389073714,2.0
5,2366.4239094667037,3.0
6,2366.4239094667037,4.0
7,2366.4239094667037,5.0
8,2366.4239094667037,6.0
9,2366.4239094667037,7.0
10,2320.353671407923,8.0
11,2320.353671407923,9.0
12,2320.353671407923,10.0
13,2320.353671407923,11.0
14,2320.353671407923,12.0
15,-60216.050702790286,13.0
16,-60216.050702790286,14.0
17,-60216.050702790286,14.0
18,-60216.050702790286,14.0
19,-60216.050702790286,15.0
20,1125.813795116781,16.0
21,1125.813795116781,17.0
22,1125.813795116781,18.0
23,1125.813795116781,19.0
24,1125.813795116781,20.0
25,-4850.281223261034,21.0
26,-4850.281223261034,22.0
27,-4850.281223261034,23.0
28,-4850.281223261034,24.0
29,-4850.281223261034,25.0
30,-2707.070343566688,26.0
31,-2707.070343566688,27.0
32,-2707.070343566688,28.0
33,-2707.070343566688,29.0
34,-2707.070343566688,30.0
35,-2892.910413384489,31.0
36,-2892.910413384489,32.0
37,-2892.910413384489,33.0
38,-2892.910413384489,34.0
39,-2892.910413384489,35.0
40,-57516.49753218914,36.0
41,-57516.49753218914,37.0
42,-57516.49753218914,38.0
43,-57516.49753218914,39.0
44,-57516.49753218914,40.0
45,-2709.798023459286,41.0
46,-2709.798023459286,42.0
47,-2709.798023459286,43.0
48,-2709.798023459286,44.0
49,-2709.798023459286,44.0
50,390.4972401890385,44.0
51,390.4972401890385,45.0
52,390.4972401890385,46.0
53,390.4972401890385,46.0
54,390.4972401890385,46.0
55,1927.2239310963917,46.0
56,1927.2239310963917,46.0
57,1927.2239310963917,46.0
58,1927.2239310963917,46.0
59,1927.2239310963917,46.0
60,-1247.4258477757862,46.0
61,-1247.4258477757862,46.0
62,-1247.4258477757862,46.0
63,-1247.4258477757862,47.0
64,-1247.4258477757862,47.0
65,1453.4620722900972,47.0
66,1453.4620722900972,47.0
67,1453.4620722900972,47.0
68,1453.4620722900972,47.0
69,1453.4620722900972,47.0
70,-19874.829908814718,47.0
71,-19874.829908814718,47.0
72,-19874.829908814718,47.0
73,-19874.829908814718,47.0
74,-19874.829908814718,47.0
75,-15456.242240296475,47.0
76,-15456.242240296475,47.0
77,-15456.242240296475,47.0
78,-15456.242240296475,47.0
79,-15456.242240296475,47.0
80,-3579.2973427275724,47.0
81,-3579.2973427275724,47.0
82,-3579.2973427275724,47.0
83,-3579.2973427275724,47.0
84,-3579.2973427275724,47.0
85,-3924.0210625637374,47.0
86,-3924.0210625637374,47.0
87,-3924.0210625637374,47.0
88,-3924.0210625637374,47.0
89,-3924.0210625637374,47.0
90,-2393.503194027071,47.0
91,-2393.503194027071,47.0
92,-2393.503194027071,47.0
93,-2393.503194027071,47.0
94,-2393.503194027071,47.0
95,-455289.56121428043,47.0
96,-455289.56121428043,47.0
97,-455289.56121428043,47.0
98,-455289.56121428043,47.0
99,-455289.56121428043,47.0
