step,J,true_crop_sum
0,2410.1530387303783,0.0
1,2410.1530387303783,0.0
2,2410.1530387303783,1.0
3,2410.1530387303783,3.0
4,2410.1530387303783,5.0
5,1995.5776462363765,6.0
6,1995.5776462363765,7.0
7,1995.5776462363765,8.0
8,1995.5776462363765,9.0
9,1995.5776462363765,10.0
10,1434.9607628924025,12.0
11,1434.9607628924025,14.0
12,1434.9607628924025,16.0
13,1434.9607628924025,18.0
14,1434.9607628924025,20.0
15,1941.911040990483,22.0
16,1941.911040990483,24.0
17,1941.911040990483,26.0
18,1941.911040990483,28.0
19,1941.911040990483,30.0
20,2270.707485559745,32.0
21,2270.707485559745,34.0
22,2270.707485559745,36.0
23,2270.707485559745,38.0
24,2270.707485559745,40.0
25,1697.2819801888784,42.0
26,1697.2819801888784,44.0
27,1697.2819801888784,46.0
28,1697.2819801888784,48.0
29,1697.2819801888784,50.0
30,2120.6320739470984,52.0
31,2120.6320739470984,54.0
32,2120.6320739470984,56.0
33,2120.6320739470984,58.0
34,2120.6320739470984,60.0
35,2131.2107927233756,62.0
36,2131.2107927233756,64.0
37,2131.2107927233756,66.0
38,2131.2107927233756,68.0
39,2131.2107927233756,70.0
40,2189.2456268656015,72.0
41,2189.2456268656015,74.0
42,2189.2456268656015,76.0
43,2189.2456268656015,78.0
44,2189.2456268656015,80.0
45,2602.097062361363,82.0
46,2602.097062361363,84.0
47,2602.097062361363,86.0
48,2602.097062361363,88.0
49,2602.097062361363,90.0
50,2219.0143888068324,91.0
51,2219.0143888068324,92.0
52,2219.0143888068324,93.0
53,2219.0143888068324,95.0
54,2219.0143888068324,97.0
55,2270.9306820037987,99.0
56,2270.9306820037987,101.0
57,2270.9306820037987,103.0
58,2270.9306820037987,105.0
59,2270.9306820037987,107.0
60,2270.823739556662,109.0
61,2270.823739556662,111.0
62,2270.823739556662,113.0
63,2270.823739556662,115.0
64,2270.823739556662,117.0
65,2259.074441095483,119.0
66,2259.074441095483,121.0
67,2259.074441095483,123.0
68,2259.074441095483,125.0
69,2259.074441095483,127.0
70,2268.179314621944,129.0
71,2268.179314621944,131.0
72,2268.179314621944,133.0
73,2268.179314621944,135.0
74,2268.179314621944,137.0
75,2272.8461277801216,139.0
76,2272.8461277801216,141.0
77,2272.8461277801216,143.0
78,2272.8461277801216,145.0
79,2272.8461277801216,147.0
80,2275.0980556967925,149.0
81,2275.0980556967925,151.0
82,2275.0980556967925,153.0
83,2275.0980556967925,155.0
84,2275.0980556967925,157.0
85,2270.90653618576,159.0
86,2270.90653618576,161.0
87,2270.90653618576,162.0
88,2270.90653618576,163.0
89,2270.90653618576,164.0
90,2265.3650655349093,165.0
91,2265.3650655349093,166.0
92,2265.3650655349093,167.0
93,2265.3650655349093,168.0
94,2265.3650655349093,169.0
95,2264.887597101623,170.0
96,2264.887597101623,171.0
97,2264.887597101623,172.0
98,2264.887597101623,174.0
99,2264.887597101623,176.0
100,2260.438406223466,178.0
101,2260.438406223466,180.0
102,2260.438406223466,182.0
103,2260.438406223466,184.0
104,2260.438406223466,186.0
105,2258.9245788449907,188.0
106,2258.9245788449907,189.0
107,2258.9245788449907,190.0
108,2258.9245788449907,192.0
109,2258.9245788449907,194.0
110,2252.748673886286,196.0
111,2252.748673886286,198.0
112,2252.748673886286,200.0
113,2252.748673886286,202.0
114,2252.748673886286,204.0
115,2251.946383159809,206.0
116,2251.946383159809,208.0
117,2251.946383159809,210.0
118,2251.946383159809,212.0
119,2251.946383159809,214.0
120,2246.0259058999195,216.0
121,2246.0259058999195,218.0
122,2246.0259058999195,220.0
123,2246.0259058999195,222.0
124,2246.0259058999195,224.0
125,2248.4729375384204,226.0
126,2248.4729375384204,228.0
127,2248.4729375384204,230.0
128,2248.4729375384204,232.0
129,2248.4729375384204,234.0
130,2247.832147929932,236.0
131,2247.832147929932,238.0
132,2247.832147929932,240.0
133,2247.832147929932,242.0
134,2247.832147929932,244.0
135,2248.199266595314,246.0
136,2248.199266595314,248.0
137,2248.199266595314,250.0
138,2248.199266595314,252.0
139,2248.199266595314,254.0
140,2249.1679343304913,256.0
141,2249.1679343304913,258.0
142,2249.1679343304913,260.0
143,2249.1679343304913,262.0
144,2249.1679343304913,264.0
145,2262.8127525214304,266.0
146,2262.8127525214304,268.0
147,2262.8127525214304,270.0
148,2262.8127525214304,272.0
149,2262.8127525214304,274.0
150,2260.959678137646,276.0
151,2260.959678137646,278.0
152,2260.959678137646,280.0
153,2260.959678137646,282.0
154,2260.959678137646,284.0
155,2259.7857435211636,286.0
156,2259.7857435211636,288.0
157,2259.7857435211636,290.0
158,2259.7857435211636,292.0
159,2259.7857435211636,294.0
160,2259.5282905983213,296.0
161,2259.5282905983213,298.0
162,2259.5282905983213,300.0
163,2259.5282905983213,302.0
164,2259.5282905983213,304.0
165,2265.8954835815794,306.0
166,2265.8954835815794,308.0
167,2265.8954835815794,310.0
168,2265.8954835815794,312.0
169,2265.8954835815794,314.0
170,2262.4029903247774,316.0
171,2262.4029903247774,318.0
172,2262.4029903247774,320.0
173,2262.4029903247774,322.0
174,2262.4029903247774,324.0
175,2260.140771974508,326.0
176,2260.140771974508,328.0
177,2260.140771974508,330.0
178,2260.140771974508,332.0
179,2260.140771974508,334.0
180,2257.452348542456,336.0
181,2257.452348542456,338.0
182,2257.452348542456,340.0
183,2257.452348542456,342.0
184,2257.452348542456,344.0
185,2253.9646529885677,346.0
186,2253.9646529885677,348.0
187,2253.9646529885677,350.0
188,2253.9646529885677,352.0
189,2253.9646529885677,354.0
190,2252.5961025678944,356.0
191,2252.5961025678944,358.0
192,2252.5961025678944,360.0
193,2252.5961025678944,362.0
194,2252.5961025678944,364.0
195,2249.4219124478086,366.0
196,2249.4219124478086,368.0
197,2249.4219124478086,370.0
198,2249.4219124478086,372.0
199,2249.4219124478086,374.0
200,2248.821743474903,376.0
201,2248.821743474903,378.0
202,2248.821743474903,380.0
203,2248.821743474903,382.0
204,2248.821743474903,384.0
205,2247.131029329853,386.0
206,2247.131029329853,388.0
207,2247.131029329853,390.0
208,2247.131029329853,392.0
209,2247.131029329853,394.0
210,2247.8127629429528,396.0
211,2247.8127629429528,398.0
212,2247.8127629429528,400.0
213,2247.8127629429528,402.0
214,2247.8127629429528,404.0
215,2245.8317091474505,406.0
216,2245.8317091474505,408.0
217,2245.8317091474505,410.0
218,2245.8317091474505,412.0
219,2245.8317091474505,414.0
220,2247.6778374834557,416.0
221,2247.6778374834557,418.0
222,2247.6778374834557,420.0
223,2247.6778374834557,422.0
224,2247.6778374834557,424.0
225,2244.9119707206023,426.0
226,2244.9119707206023,428.0
227,2244.9119707206023,430.0
228,2244.9119707206023,432.0
229,2244.9119707206023,434.0
230,2247.4011169041005,436.0
231,2247.4011169041005,438.0
232,2247.4011169041005,440.0
233,2247.4011169041005,442.0
234,2247.4011169041005,444.0
235,2244.1072507764407,446.0
236,2244.1072507764407,448.0
237,2244.1072507764407,450.0
238,2244.1072507764407,452.0
239,2244.1072507764407,454.0
240,2241.5905587731004,456.0
241,2241.5905587731004,458.0
242,2241.5905587731004,460.0
243,2241.5905587731004,462.0
244,2241.5905587731004,464.0
245,2241.377296369981,466.0
246,2241.377296369981,468.0
247,2241.377296369981,470.0
248,2241.377296369981,472.0
249,2241.377296369981,474.0
250,2238.6042444229515,476.0
251,2238.6042444229515,478.0
252,2238.6042444229515,480.0
253,2238.6042444229515,482.0
254,2238.6042444229515,484.0
255,2239.3927440197267,486.0
256,2239.3927440197267,488.0
257,2239.3927440197267,490.0
258,2239.3927440197267,492.0
259,2239.3927440197267,494.0
260,2242.7179058269303,496.0
261,2242.7179058269303,498.0
262,2242.7179058269303,500.0
263,2242.7179058269303,502.0
264,2242.7179058269303,504.0
265,2247.829629059177,506.0
266,2247.829629059177,508.0
267,2247.829629059177,510.0
268,2247.829629059177,512.0
269,2247.829629059177,514.0
270,2244.4964781183585,516.0
271,2244.4964781183585,518.0
272,2244.4964781183585,520.0
273,2244.4964781183585,522.0
274,2244.4964781183585,524.0
275,2242.80710808769,526.0
276,2242.80710808769,528.0
277,2242.80710808769,529.0
278,2242.80710808769,530.0
279,2242.80710808769,531.0
280,2234.4169601160092,532.0
281,2234.4169601160092,533.0
282,2234.4169601160092,534.0
283,2234.4169601160092,536.0
284,2234.4169601160092,538.0
285,2233.343394792664,538.0
286,2233.343394792664,538.0
287,2233.343394792664,538.0
288,2233.343394792664,538.0
289,2233.343394792664,538.0
290,2234.847522298688,538.0
291,2234.847522298688,538.0
292,2234.847522298688,538.0
293,2234.847522298688,538.0
294,2234.847522298688,538.0
295,2232.158307274136,539.0
296,2232.158307274136,540.0
297,2232.158307274136,541.0
298,2232.158307274136,542.0
299,2232.158307274136,543.0
300,2225.347477662025,544.0
301,2225.347477662025,544.0
302,2225.347477662025,544.0
303,2225.347477662025,544.0
304,2225.347477662025,544.0
305,2226.473816956398,545.0
306,2226.473816956398,546.0
307,2226.473816956398,547.0
308,2226.473816956398,548.0
309,2226.473816956398,549.0
310,2224.19633522303,550.0
311,2224.19633522303,551.0
312,2224.19633522303,553.0
313,2224.19633522303,555.0
314,2224.19633522303,556.0
315,2228.6486094670204,557.0
316,2228.6486094670204,558.0
317,2228.6486094670204,559.0
318,2228.6486094670204,560.0
319,2228.6486094670204,560.0
320,2226.9169061670154,561.0
321,2226.9169061670154,562.0
322,2226.9169061670154,564.0
323,2226.9169061670154,566.0
324,2226.9169061670154,568.0
325,2231.001621617299,570.0
326,2231.001621617299,572.0
327,2231.001621617299,574.0
328,2231.001621617299,576.0
329,2231.001621617299,578.0
330,2226.3467482587776,580.0
331,2226.3467482587776,582.0
332,2226.3467482587776,584.0
333,2226.3467482587776,586.0
334,2226.3467482587776,588.0
335,2226.56043059509,590.0
336,2226.56043059509,592.0
337,2226.56043059509,594.0
338,2226.56043059509,596.0
339,2226.56043059509,598.0
340,2222.0654268230837,600.0
341,2222.0654268230837,602.0
342,2222.0654268230837,604.0
343,2222.0654268230837,606.0
344,2222.0654268230837,608.0
345,2222.16340485979,610.0
346,2222.16340485979,612.0
347,2222.16340485979,614.0
348,2222.16340485979,616.0
349,2222.16340485979,618.0
350,2225.276320168252,619.0
351,2225.276320168252,620.0
352,2225.276320168252,621.0
353,2225.276320168252,622.0
354,2225.276320168252,623.0
355,2223.850069940123,624.0
356,2223.850069940123,625.0
357,2223.850069940123,626.0
358,2223.850069940123,627.0
359,2223.850069940123,628.0
360,2221.3434113620037,629.0
361,2221.3434113620037,630.0
362,2221.3434113620037,632.0
363,2221.3434113620037,634.0
364,2221.3434113620037,636.0
365,2228.672396885162,638.0
366,2228.672396885162,640.0
367,2228.672396885162,642.0
368,2228.672396885162,644.0
369,2228.672396885162,646.0
370,2226.4751819193134,648.0
371,2226.4751819193134,650.0
372,2226.4751819193134,652.0
373,2226.4751819193134,654.0
374,2226.4751819193134,656.0
375,2225.3128355938943,658.0
376,2225.3128355938943,660.0
377,2225.3128355938943,662.0
378,2225.3128355938943,664.0
379,2225.3128355938943,666.0
380,2228.526608237341,667.0
381,2228.526608237341,669.0
382,2228.526608237341,671.0
383,2228.526608237341,673.0
384,2228.526608237341,675.0
385,2226.27472383497,677.0
386,2226.27472383497,679.0
387,2226.27472383497,681.0
388,2226.27472383497,683.0
389,2226.27472383497,685.0
390,2224.457955801719,687.0
391,2224.457955801719,689.0
392,2224.457955801719,691.0
393,2224.457955801719,693.0
394,2224.457955801719,695.0
395,2225.019536040178,697.0
396,2225.019536040178,699.0
397,2225.019536040178,701.0
398,2225.019536040178,702.0
399,2225.019536040178,703.0
400,2225.1688824542666,704.0
401,2225.1688824542666,705.0
402,2225.1688824542666,706.0
403,2225.1688824542666,707.0
404,2225.1688824542666,709.0
405,2220.6852438313163,711.0
406,2220.6852438313163,712.0
407,2220.6852438313163,713.0
408,2220.6852438313163,715.0
409,2220.6852438313163,717.0
410,2220.833148675764,719.0
411,2220.833148675764,721.0
412,2220.833148675764,723.0
413,2220.833148675764,725.0
414,2220.833148675764,727.0
415,2222.987603025337,729.0
416,2222.987603025337,731.0
417,2222.987603025337,733.0
418,2222.987603025337,735.0
419,2222.987603025337,737.0
420,2219.255609967438,739.0
421,2219.255609967438,741.0
422,2219.255609967438,743.0
423,2219.255609967438,745.0
424,2219.255609967438,747.0
425,2219.4805492542014,749.0
426,2219.4805492542014,751.0
427,2219.4805492542014,753.0
428,2219.4805492542014,755.0
429,2219.4805492542014,757.0
430,2224.3306837041164,759.0
431,2224.3306837041164,761.0
432,2224.3306837041164,763.0
433,2224.3306837041164,765.0
434,2224.3306837041164,767.0
435,2228.0988005069703,769.0
436,2228.0988005069703,770.0
437,2228.0988005069703,772.0
438,2228.0988005069703,774.0
439,2228.0988005069703,776.0
440,2221.2879326172365,778.0
441,2221.2879326172365,780.0
442,2221.2879326172365,782.0
443,2221.2879326172365,783.0
444,2221.2879326172365,784.0
445,2219.2737257982744,785.0
446,2219.2737257982744,786.0
447,2219.2737257982744,787.0
448,2219.2737257982744,788.0
449,2219.2737257982744,789.0
450,2218.4573235213875,790.0
451,2218.4573235213875,791.0
452,2218.4573235213875,792.0
453,2218.4573235213875,793.0
454,2218.4573235213875,794.0
455,2216.6636953869483,795.0
456,2216.6636953869483,796.0
457,2216.6636953869483,797.0
458,2216.6636953869483,798.0
459,2216.6636953869483,799.0
460,2220.527388934659,800.0
461,2220.527388934659,801.0
462,2220.527388934659,802.0
463,2220.527388934659,803.0
464,2220.527388934659,804.0
465,2221.2683462580794,805.0
466,2221.2683462580794,806.0
467,2221.2683462580794,807.0
468,2221.2683462580794,807.0
469,2221.2683462580794,807.0
470,2220.2157132925895,808.0
471,2220.2157132925895,809.0
472,2220.2157132925895,810.0
473,2220.2157132925895,811.0
474,2220.2157132925895,812.0
475,2215.6799020657086,812.0
476,2215.6799020657086,812.0
477,2215.6799020657086,812.0
478,2215.6799020657086,812.0
479,2215.6799020657086,812.0
480,2215.6981068178584,812.0
481,2215.6981068178584,813.0
482,2215.6981068178584,814.0
483,2215.6981068178584,815.0
484,2215.6981068178584,816.0
485,2217.5466501516757,817.0
486,2217.5466501516757,818.0
487,2217.5466501516757,819.0
488,2217.5466501516757,820.0
489,2217.5466501516757,821.0
490,2221.37026534683,822.0
491,2221.37026534683,823.0
492,2221.37026534683,824.0
493,2221.37026534683,825.0
494,2221.37026534683,826.0
495,2217.503012092388,827.0
496,2217.503012092388,828.0
497,2217.503012092388,828.0
498,2217.503012092388,828.0
499,2217.503012092388,828.0
500,2216.8718911133606,828.0
501,2216.8718911133606,828.0
502,2216.8718911133606,828.0
503,2216.8718911133606,829.0
504,2216.8718911133606,829.0
505,2214.934993531826,829.0
506,2214.934993531826,829.0
507,2214.934993531826,829.0
508,2214.934993531826,829.0
509,2214.934993531826,829.0
510,2220.290402424269,829.0
511,2220.290402424269,829.0
512,2220.290402424269,829.0
513,2220.290402424269,829.0
