step,J,true_crop_sum,run
0,2410.1530387303783,0.0,0
1,2410.1530387303783,0.0,0
2,2410.1530387303783,0.0,0
3,2410.1530387303783,1.0,0
4,2410.1530387303783,3.0,0
0,2410.1530387303783,0.0,1
1,2410.1530387303783,0.0,1
2,2410.1530387303783,1.0,1
3,2410.1530387303783,2.0,1
4,2410.1530387303783,4.0,1
0,2410.1530387303783,0.0,2
1,2410.1530387303783,0.0,2
2,2410.1530387303783,0.0,2
3,2410.1530387303783,1.0,2
4,2410.1530387303783,3.0,2
0,2410.1530387303783,0.0,3
1,2410.1530387303783,0.0,3
2,2410.1530387303783,1.0,3
3,2410.1530387303783,2.0,3
4,2410.1530387303783,4.0,3
0,2410.1530387303783,0.0,4
1,2410.1530387303783,0.0,4
2,2410.1530387303783,0.0,4
3,2410.1530387303783,1.0,4
4,2410.1530387303783,3.0,4
0,2410.1530387303783,0.0,5
1,2410.1530387303783,0.0,5
2,2410.1530387303783,0.0,5
3,2410.1530387303783,0.0,5
4,2410.1530387303783,1.0,5
0,2410.1530387303783,0.0,6
1,2410.1530387303783,0.0,6
2,2410.1530387303783,1.0,6
3,2410.1530387303783,3.0,6
4,2410.1530387303783,5.0,6
0,2410.1530387303783,0.0,7
1,2410.1530387303783,0.0,7
2,2410.1530387303783,2.0,7
3,2410.1530387303783,4.0,7
4,2410.1530387303783,6.0,7
0,2410.1530387303783,0.0,8
1,2410.1530387303783,0.0,8
2,2410.1530387303783,1.0,8
3,2410.1530387303783,3.0,8
4,2410.1530387303783,5.0,8
0,2410.1530387303783,0.0,9
1,2410.1530387303783,0.0,9
2,2410.1530387303783,1.0,9
3,2410.1530387303783,3.0,9
4,2410.1530387303783,5.0,9
