grid_size,noise_std,num_uavs,num_ugvs,steps,map_publish_period,ugv_depth,reward_type,discount_factor,v_limit,step_of_ugv_path_used,suenaga_on,use_j_gradient_cbf,use_voronoi,unom_gain,suenaga_gain,cbf_j_alpha,cbf_j_gamma,d0,ugv_future_path_sigma,suenaga_discount_rate,suenaga_path_gene_depth,gp_sigma0,gp_max_basis,gp_delta,rbf_sigma,case1_count,case2_count,case3_count,seed,total_crop_final,run
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,2290,319,0,461.0,0
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,2259,350,1,346.0,1
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,2257,352,2,404.0,2
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,2130,479,3,553.0,3
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,2088,521,4,452.0,4
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,2131,478,5,302.0,5
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,1765,844,6,390.0,6
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,1971,638,7,338.0,7
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,1841,726,8,389.0,8
50,0.5,3,2,300,0.5,8,3,0.95,25.0,6,False,True,True,2.0,2.0,1.0,3.0,5.0,5.0,0.95,5,0.4,100,0.05,2.0,100,2030,579,9,423.0,9
