step,J,true_crop_sum
0,858.7046526749953,0.0
1,856.6645889649899,0.0
2,839.5145324546645,0.0
3,836.8206884606044,0.0
4,835.5042287117578,0.0
5,834.6421483359406,0.0
6,830.1788590693889,0.0
7,828.4723117676832,0.0
8,827.6035868204746,0.0
9,827.0291640025159,0.0
10,826.6053127536577,0.0
11,811.4485015280677,0.0
12,809.1033717317052,0.0
13,807.9158949284073,0.0
14,807.1432592473791,0.0
15,806.5754877028095,0.0
16,802.5423409284001,0.0
17,801.11343503084,0.0
18,800.2931683417856,0.0
19,799.7174498202528,0.0
20,799.276539214819,0.0
21,790.938638510379,0.0
22,788.6142526831328,0.0
23,787.4407494583286,0.0
24,786.6794762942832,0.0
25,786.121760214069,0.0
26,783.7028632901753,0.0
27,782.5228692260962,0.0
28,781.865194874646,0.0
29,781.4081984737975,0.0
30,781.0573301905056,0.0
31,803.0942655256916,0.0
32,802.3099526138353,0.0
33,801.9521368402329,0.0
34,801.7363718379429,0.0
35,801.5871750820547,0.0
36,796.0613861248384,0.0
37,795.0210780903147,0.0
38,794.4940044445052,0.0
39,794.1619142236535,0.0
40,793.9284351568597,0.0
41,790.7185593842337,1.0
42,789.5642096157173,2.0
43,789.0605895771025,3.0
44,788.76316555781,4.0
45,788.5609367782678,5.0
46,784.2526146930485,6.0
47,783.6119401921575,7.0
48,783.3185944792517,7.0
49,783.1402649030955,7.0
50,783.0162845786506,7.0
51,779.5806323303597,7.0
52,779.0119082971869,7.0
53,778.7654805552328,7.0
54,778.6190072664137,7.0
55,778.5183720595022,8.0
56,778.443246774284,9.0
57,778.3840724533225,10.0
58,778.3356812950525,11.0
59,774.267751605435,12.0
60,773.5842492537663,12.0
61,773.3151712402176,12.0
62,773.1640823704805,12.0
63,773.0640717610537,12.0
64,770.1818467803917,12.0
65,769.1310882277837,12.0
66,768.672015283606,12.0
67,768.3956319322216,12.0
68,765.987208786681,12.0
69,764.8061652577551,12.0
70,764.3030168323605,12.0
71,764.0144932421715,12.0
72,760.4264359587705,12.0
73,759.3050625552123,12.0
74,758.8092507517804,12.0
75,758.5062900567718,12.0
76,758.2952672866446,12.0
77,758.1370686912926,12.0
78,758.0126354394058,12.0
79,757.9113543570677,12.0
80,757.7013831714357,12.0
81,758.3982100523593,12.0
82,757.226814148147,12.0
83,756.7375246182917,12.0
84,756.4461575285832,12.0
85,754.5940881935901,12.0
86,754.1412278724181,12.0
87,753.9199941786962,12.0
88,753.7838725502824,12.0
89,753.6898723344543,13.0
90,751.2074756354298,14.0
91,750.6631434711417,14.0
92,750.4440965344884,14.0
93,750.3197488372856,14.0
94,748.7715974198657,14.0
95,747.615240792807,14.0
96,747.1523478194124,14.0
97,746.8892482504373,14.0
98,746.715739325483,14.0
99,744.1318610913345,14.0
100,742.5525174915579,14.0
101,741.949781478484,15.0
102,741.624239265133,16.0
103,741.417870129441,17.0
104,739.6036801062637,18.0
105,738.8674713197585,19.0
106,738.5546740798789,20.0
107,738.3770847631663,21.0
108,738.2609748493355,22.0
109,736.445107521133,23.0
110,735.2328560047381,24.0
111,734.7546902563274,25.0
112,734.4939036270378,25.0
113,734.3280551263158,25.0
114,734.2124461878034,25.0
115,736.4447576689029,25.0
116,734.2304763420033,25.0
117,733.6164994849204,25.0
118,733.2986652959027,25.0
119,733.0905983684767,25.0
120,731.8609024817735,25.0
121,731.0016128624716,25.0
122,730.6380809570584,25.0
