step,J,true_crop_sum
0,858.7046526749953,0.0
1,856.6645889649899,0.0
2,841.0246454237927,0.0
3,839.3661367469492,0.0
4,838.7099559457268,0.0
5,838.2918857742632,0.0
6,837.9824792043589,0.0
7,837.7358869495213,0.0
8,836.752086143174,0.0
9,836.2480241058354,0.0
10,836.0976810184308,0.0
11,835.9674984151482,0.0
12,835.8525754106354,0.0
13,835.7496252918127,0.0
14,835.2119566135777,0.0
15,834.8737380263383,0.0
16,833.2089223099175,0.0
17,832.6013839110113,0.0
18,832.235115411963,0.0
19,827.7652745911362,0.0
20,823.7536143637437,0.0
21,822.9714766315931,0.0
22,822.5887256645889,0.0
23,822.4213734628765,0.0
24,817.2491319982055,1.0
25,816.6371480226228,2.0
26,816.2584818021165,2.0
27,815.9730965574772,2.0
28,815.8176723060288,2.0
29,809.1457047457397,2.0
30,808.0424956524989,2.0
31,807.5945837855322,2.0
32,807.3307806658343,2.0
33,806.5657495056023,2.0
34,806.3519106543622,2.0
35,806.1915979750585,2.0
36,776.8302369589252,2.0
37,769.9232994678393,3.0
38,760.3841252022471,4.0
39,742.803893539965,5.0
40,695.2878442105784,6.0
41,599.4573836518705,7.0
42,533.844609970042,7.0
43,411.20559826277145,7.0
44,-71.38287298854077,7.0
45,6207.301721581172,7.0
46,833.1430948100995,7.0
47,817.740227194992,7.0
48,811.7530422964257,7.0
49,803.141211780415,7.0
50,799.7678004840358,7.0
51,810.8079276780841,7.0
52,807.3001781177531,7.0
53,805.8152772148075,7.0
54,800.9457141270138,7.0
55,799.2409089717021,7.0
56,798.3789839029909,7.0
57,797.8143788452014,7.0
58,796.3646377193331,7.0
59,795.5596401422347,7.0
60,795.188943699671,7.0
61,794.9568939887754,7.0
62,794.7895410991889,7.0
63,791.578016661629,7.0
64,791.8354646488917,7.0
65,790.3885020459501,7.0
66,789.8257668513643,7.0
67,788.8671762883218,8.0
68,788.0568017158047,9.0
69,787.292219106338,9.0
70,786.9792749111723,9.0
71,786.789474565563,9.0
72,785.8943108534487,9.0
73,784.3406389126768,9.0
74,782.8785391104449,9.0
75,785.936618863392,9.0
76,766.116924558214,9.0
77,765.0865245365048,9.0
78,764.6564568544691,9.0
79,764.3222115869755,9.0
80,763.9369666083512,9.0
81,762.6245442012925,10.0
82,761.0288909604265,11.0
83,759.6444759412112,12.0
84,758.8795688918697,13.0
85,758.3615028148429,14.0
86,757.9894799195012,15.0
87,757.6960225508203,15.0
88,757.1088247591999,15.0
89,756.8507989831728,15.0
90,756.6803617748493,15.0
91,756.5544562387181,15.0
92,753.0054527092126,16.0
93,752.2304866115095,17.0
94,751.5770978685084,18.0
95,751.2900030187172,19.0
96,751.0817726840882,20.0
97,750.9502821773991,21.0
98,749.186205517098,22.0
99,748.797880362598,23.0
100,748.6250052566404,24.0
101,745.6101638169589,24.0
102,744.9189316014637,24.0
103,744.6153769255294,24.0
104,741.6915743952563,24.0
105,741.0181995609887,24.0
106,740.6840121501797,24.0
107,740.4751517024133,24.0
108,740.9069752635814,24.0
109,740.4416067930837,24.0
110,740.4926919388516,24.0
111,739.6964954277639,24.0
112,739.204890059592,24.0
113,739.2026986841381,24.0
114,738.7873849420196,24.0
115,739.3177469713023,24.0
116,739.0129492572336,24.0
117,738.8716988204887,24.0
118,738.7780204327846,24.0
119,740.1020881513266,24.0
120,739.7940784233741,24.0
121,740.2654672425757,24.0
122,739.8233920193932,24.0
