step,J,true_crop_sum
0,858.7046526749953,0.0
1,856.6645889649899,0.0
2,840.2910901251294,0.0
3,838.6334445781195,0.0
4,837.3243432218802,0.0
5,836.6962626707702,0.0
6,836.2960470721371,0.0
7,836.0064721905779,0.0
8,835.781320112379,0.0
9,835.4593374105916,0.0
10,835.2899246915965,0.0
11,835.1468940743648,0.0
12,835.023362895179,0.0
13,834.9148061453029,0.0
14,834.7123719343556,0.0
15,834.5531906212216,0.0
16,831.3652206234929,0.0
17,830.5357870546582,0.0
18,830.3337809513346,0.0
19,829.0487759353758,0.0
20,828.5359420347503,0.0
21,828.158291376237,0.0
22,827.881962648386,0.0
23,827.6633322982632,0.0
24,826.6727954516082,0.0
25,826.236733382604,0.0
26,825.9638275816834,0.0
27,823.1014100805673,0.0
28,822.319450907168,0.0
29,821.3764478456991,0.0
30,820.9971939841548,0.0
31,820.7742415237756,0.0
32,817.9696569548794,0.0
33,817.0966119525688,0.0
34,816.6904313272446,0.0
35,816.5689406374333,0.0
36,816.4711593670429,0.0
37,844.7550977146416,0.0
38,821.5226091487377,0.0
39,816.8547775447323,0.0
40,813.7697512478771,0.0
41,812.0682890734969,0.0
42,810.982555325453,0.0
43,800.6235570120165,0.0
44,799.1536383338805,0.0
45,798.5165625473722,0.0
46,798.1287619705972,0.0
47,797.5029052208969,1.0
48,794.6742668895828,2.0
49,794.2992428670053,3.0
50,794.0253857041721,4.0
51,793.8110823502294,5.0
52,790.1564073201782,6.0
53,788.7444130757556,6.0
54,787.803284764191,6.0
55,787.616281882101,6.0
56,787.1818345474178,6.0
57,787.0785206973736,6.0
58,787.012058730479,6.0
59,780.5605204993799,6.0
60,780.4238354714806,6.0
61,780.3050583811757,6.0
62,779.9760550611879,6.0
63,776.4307063120986,6.0
64,775.0844284031515,6.0
65,774.217680799954,6.0
66,773.495887507735,6.0
67,771.1128174043856,6.0
68,769.125956268962,6.0
69,766.6841041035426,6.0
70,760.7836671391099,6.0
71,723.0184395928479,6.0
72,811.5808121025909,6.0
73,791.7059772218704,6.0
74,783.7144226119249,6.0
75,779.9349162483129,6.0
76,777.6710442098884,6.0
77,776.1352005535774,6.0
78,776.5183236885475,6.0
79,774.6615607320467,6.0
80,773.5111327965733,6.0
81,770.3594293832289,6.0
82,766.5308076946515,6.0
83,766.1249230302576,6.0
84,764.83922879175,6.0
85,763.5228471787207,6.0
86,762.9095939050378,6.0
87,762.3371925818003,6.0
88,760.7214467345993,6.0
89,762.3004101009132,6.0
90,761.902953052682,6.0
91,761.6408239676218,6.0
92,761.1726527810808,6.0
93,760.8345929916591,6.0
94,758.4115618104317,6.0
95,757.9874674604808,6.0
96,757.5688538333097,6.0
97,757.3626365614242,6.0
98,755.7707420708109,6.0
99,754.8008310468281,6.0
100,754.3848160912364,6.0
101,754.1401436624612,6.0
102,754.0159947604766,6.0
103,752.1854081628926,7.0
104,750.9710030992592,8.0
105,750.5867556388996,8.0
106,750.3833503154469,8.0
107,748.5225097203779,9.0
108,748.2417070196557,9.0
109,747.763988734091,9.0
110,747.5622005761954,9.0
111,747.4446266702181,9.0
112,747.915296260318,9.0
113,750.1047502175326,9.0
114,749.8924374311945,9.0
115,749.5570209961146,9.0
116,749.4029372644131,9.0
117,749.3084790807213,9.0
118,751.4773523940473,9.0
119,750.1868645341219,9.0
120,749.7930750138937,9.0
121,748.4224590602616,9.0
122,747.5981964582362,9.0
